Description,Supermarket,Link,Price
Rocklea Road,Coles,https://www.coles.com.au/product/darrell-lea-milk-chocolate-traditional-rocklea-road-block-180g-3919844,0
Chickpea,Coles,https://www.coles.com.au/product/coles-chick-peas-420g-8075852,0
